ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,LATITUDE,LONGITUDE
T20230007890,2023-04-03,17:50:00,-37.828245,147.621869
T20230007891,2023-04-03,18:38:00,-37.661477,144.923214
T20230007823,2023-04-03,09:40:00,-36.350268,146.309483
T20230007896,2023-04-03,22:25:00,-37.690527,145.064484
T20230007898,2023-04-03,22:31:00,-37.868941,145.235346
T20230007899,2023-04-03,21:52:00,-37.787739,144.925164
T20230009596,2023-04-03,12:00:00,-37.90117,145.019228
T20230015751,2023-04-03,15:00:00,-38.108558,145.162726
T20230008160,2023-04-03,17:33:00,-38.028348,145.322016
T20230008024,2023-04-03,16:25:00,-37.689952,144.603417
T20230009945,2023-04-03,12:00:00,-37.805278,144.96919
T20230025538,2023-04-03,15:00:00,-37.756739,145.118737
T20230009385,2023-04-03,14:15:00,-37.7662,144.693644
T20230012116,2023-04-03,10:30:00,-37.884821,145.160017
T20230012080,2023-04-03,09:00:00,-38.067635,145.146896
T20230010574,2023-04-03,08:22:00,-37.797496,145.134095
T20230007827,2023-04-03,10:40:00,-37.793332,145.074487
T20230007832,2023-04-03,06:15:00,-38.00083,145.105197
T20230007834,2023-04-03,11:32:00,-37.955029,145.020435
T20230007835,2023-04-03,12:25:00,-36.74677,144.253684
T20230007846,2023-04-03,13:36:00,-37.738309,145.095725
T20230007847,2023-04-03,12:55:00,-38.436609,145.823591
T20230007851,2023-04-03,13:48:00,-37.732848,144.953099
T20230007857,2023-04-03,11:50:00,-36.376972,145.400164
T20230007859,2023-04-03,14:35:00,-37.863668,145.093236
T20230015896,2023-04-03,20:15:00,-38.119234,145.331224
T20230015896,2023-04-03,20:15:00,-38.119234,145.331224
T20230007808,2023-04-03,08:20:00,-36.132838,146.846659
T20230007812,2023-04-03,08:49:00,-37.929569,144.635868
T20230007816,2023-04-03,07:15:00,-38.314898,145.014494
T20230007821,2023-04-03,08:40:00,-37.894388,145.214604
T20230007822,2023-04-03,10:35:00,-36.922143,144.709049
T20230007825,2023-04-03,09:50:00,-37.82925,144.881348
T20230007801,2023-04-03,03:10:00,-37.78885,144.980075
T20230007826,2023-04-03,06:35:00,-38.174621,144.369122
T20230008222,2023-04-03,07:05:00,-37.797271,145.13058
T20230007956,2023-04-03,07:10:00,-38.046391,145.343435
T20230007869,2023-04-03,14:24:00,-38.527559,143.983048
T20230007871,2023-04-03,16:32:00,-37.673833,145.155983
T20230007872,2023-04-03,16:27:00,-38.010731,145.132374
T20230007873,2023-04-03,15:15:00,-38.139599,145.488633
T20230007874,2023-04-03,07:30:00,-37.809404,144.97214
T20230007874,2023-04-03,07:30:00,-37.809404,144.97214
T20230007878,2023-04-03,17:20:00,-37.887714,144.71417
T20230014255,2023-04-04,21:00:00,-37.861402,145.000933
T20230014441,2023-04-04,16:05:00,-37.718099,144.83847
T20230007974,2023-04-04,16:35:00,-37.799631,145.289819
T20230007914,2023-04-04,05:16:00,-37.744077,145.015232
T20230008669,2023-04-04,12:50:00,-37.805892,144.95611
T20230010355,2023-04-04,08:20:00,-37.60435,143.838158
T20230007973,2023-04-04,16:10:00,-37.666,144.942396
T20230007906,2023-04-04,02:30:00,-37.855271,144.864201
T20230008979,2023-04-04,06:15:00,-37.291055,142.897215
T20230007959,2023-04-04,06:45:00,-37.755944,144.73969
T20230007924,2023-04-04,09:45:00,-35.343834,143.543566
T20230008059,2023-04-04,13:30:00,-37.596437,145.058757
T20230019118,2023-04-04,18:00:00,-37.886282,145.038159
T20230007939,2023-04-04,12:05:00,-37.773797,145.094635
T20230008963,2023-04-04,20:32:00,-37.861629,145.212429
T20230009217,2023-04-04,16:06:00,-37.686112,145.066275
T20230009800,2023-04-04,15:43:00,-38.102443,145.320735
T20230007982,2023-04-04,18:00:00,-37.802171,144.94162
T20230007915,2023-04-04,07:50:00,-37.836215,144.708802
T20230007915,2023-04-04,07:50:00,-37.836215,144.708802
T20230007905,2023-04-04,05:39:00,-37.613086,145.093006
T20230009035,2023-04-04,15:20:00,-38.242957,142.90752
T20230009057,2023-04-04,08:45:00,-37.799697,144.918021
T20230007940,2023-04-04,12:11:00,-37.712229,144.787614
T20230007961,2023-04-04,13:55:00,-38.124731,142.722445
T20230009283,2023-04-04,13:30:00,-38.147985,144.374536
T20230007927,2023-04-04,12:00:00,-37.56214,143.858279
T20230011331,2023-04-04,15:00:00,-37.842156,144.771401
T20230010528,2023-04-04,11:10:00,-37.526455,145.418067
T20230008230,2023-04-04,07:46:00,-37.842513,145.069453
T20230007925,2023-04-04,09:30:00,-37.453979,143.535663
T20230007997,2023-04-04,05:50:00,-37.824496,144.811944
T20230007945,2023-04-04,12:50:00,-38.108056,147.064107
T20230008031,2023-04-04,19:15:00,-37.856455,144.982733
T20230010842,2023-04-04,09:40:00,-37.716361,144.692497
T20230007994,2023-04-04,21:42:00,-37.643324,144.951161
T20230007948,2023-04-04,12:40:00,-36.316973,146.655263
T20230007933,2023-04-04,11:40:00,-37.806415,145.190883
T20230007949,2023-04-04,12:17:00,-37.301099,145.08098
T20230007934,2023-04-04,11:40:00,-37.902564,147.024239
T20230007992,2023-04-04,10:30:00,-37.900946,144.662037
T20230007991,2023-04-04,19:27:00,-38.110521,145.259696
T20230007990,2023-04-04,21:15:00,-37.640422,144.880652
T20230007989,2023-04-04,18:57:00,-37.783762,145.015019
T20230007986,2023-04-04,17:44:00,-37.689242,145.112916
T20230007981,2023-04-04,18:53:00,-38.28891,143.522547
T20230007978,2023-04-04,17:54:00,-38.048189,145.41765
T20230007978,2023-04-04,17:54:00,-38.048189,145.41765
T20230008004,2023-04-05,06:11:00,-38.075311,144.369127
T20230008074,2023-04-05,18:50:00,-37.932892,145.034147
T20230008075,2023-04-05,17:00:00,-37.604051,143.870719
T20230008092,2023-04-05,23:00:00,-37.744628,144.910082
T20230008136,2023-04-05,10:55:00,-36.752285,144.294246
