datetime_AEST,datetime_local,location_id,location_name,BPM2.5
2021-01-04 02:00:00,2021-01-04 03:00:00,10239,Melbourne CBD,3.433
2021-01-04 03:00:00,2021-01-04 04:00:00,10239,Melbourne CBD,6.55
2021-01-04 04:00:00,2021-01-04 05:00:00,10239,Melbourne CBD,-2.133
2021-01-04 05:00:00,2021-01-04 06:00:00,10239,Melbourne CBD,5.667
2021-01-04 06:00:00,2021-01-04 07:00:00,10239,Melbourne CBD,2.617
2021-01-04 07:00:00,2021-01-04 08:00:00,10239,Melbourne CBD,1.983
2021-01-04 08:00:00,2021-01-04 09:00:00,10239,Melbourne CBD,-1.517
2021-01-04 09:00:00,2021-01-04 10:00:00,10239,Melbourne CBD,7.817
2021-01-04 10:00:00,2021-01-04 11:00:00,10239,Melbourne CBD,-2.167
2021-01-04 11:00:00,2021-01-04 12:00:00,10239,Melbourne CBD,4.133
2021-01-04 12:00:00,2021-01-04 13:00:00,10239,Melbourne CBD,6.217
2021-01-04 13:00:00,2021-01-04 14:00:00,10239,Melbourne CBD,2.833
2021-01-04 14:00:00,2021-01-04 15:00:00,10239,Melbourne CBD,10.033
2021-01-04 15:00:00,2021-01-04 16:00:00,10239,Melbourne CBD,4.233
2021-01-04 16:00:00,2021-01-04 17:00:00,10239,Melbourne CBD,
2021-01-04 17:00:00,2021-01-04 18:00:00,10239,Melbourne CBD,4.35
2021-01-04 18:00:00,2021-01-04 19:00:00,10239,Melbourne CBD,7.25
2021-01-04 19:00:00,2021-01-04 20:00:00,10239,Melbourne CBD,4.3
2021-01-04 20:00:00,2021-01-04 21:00:00,10239,Melbourne CBD,0.15
2021-01-04 21:00:00,2021-01-04 22:00:00,10239,Melbourne CBD,-0.533
2021-01-04 22:00:00,2021-01-04 23:00:00,10239,Melbourne CBD,-0.217
2021-01-04 23:00:00,2021-01-05 00:00:00,10239,Melbourne CBD,-1.8
2021-01-05 00:00:00,2021-01-05 01:00:00,10239,Melbourne CBD,-2.217
2021-01-05 01:00:00,2021-01-05 02:00:00,10239,Melbourne CBD,3.117
2021-01-05 02:00:00,2021-01-05 03:00:00,10239,Melbourne CBD,-0.15
2021-01-05 03:00:00,2021-01-05 04:00:00,10239,Melbourne CBD,3.4
2021-01-05 04:00:00,2021-01-05 05:00:00,10239,Melbourne CBD,2.883
2021-01-05 05:00:00,2021-01-05 06:00:00,10239,Melbourne CBD,0.983
