datetime_AEST,datetime_local,location_id,location_name,BPM2.5,BSP,CO,DBT,NO2,O3,PM10,Sigma05,SO2,SWD,SWS,VWD,VWS
2020-12-31 23:00:00,2021-01-01 00:00:00,10001,Alphington,10.668,43.411,0.335,17.062,7.801,4.133,22.637,34.819,0.888,174.567,0.32,181.504,0.119
2021-01-01 00:00:00,2021-01-01 01:00:00,10001,Alphington,11.443,,,16.609,,,27.671,46.486,,138.245,0.334,130.564,0.205
2021-01-01 01:00:00,2021-01-01 02:00:00,10001,Alphington,11.204,64.82,0.375,16.252,11.108,0.644,26.112,33.627,0.823,182.605,0.255,214.196,0.033
2021-01-01 02:00:00,2021-01-01 03:00:00,10001,Alphington,11.234,63.296,0.406,15.674,9.325,0.42,23.801,38.541,0.898,257.399,0.202,316.645,0.134
2021-01-01 03:00:00,2021-01-01 04:00:00,10001,Alphington,11.29,61.756,0.412,15.337,7.72,0.351,24.146,40.282,0.776,152.164,0.311,145.541,0.119
2021-01-01 04:00:00,2021-01-01 05:00:00,10001,Alphington,11.795,70.766,0.423,15.302,7.385,0.428,25.73,43.85,0.797,185.558,0.235,56.201,0.032
2021-01-01 05:00:00,2021-01-01 06:00:00,10001,Alphington,13.736,74.982,0.445,15.246,6.423,0.581,26.691,47.822,0.722,226.631,0.251,287.52,0.13
2021-01-01 06:00:00,2021-01-01 07:00:00,10001,Alphington,14.462,57.216,0.323,17.023,7.977,3.273,27.21,31.053,0.67,242.18,0.649,242.536,0.534
2021-01-01 07:00:00,2021-01-01 08:00:00,10001,Alphington,10.832,41.807,0.214,18.78,6.99,7.363,20.852,46.353,0.632,167.875,0.535,207.569,0.19
2021-01-01 08:00:00,2021-01-01 09:00:00,10001,Alphington,9.482,29.618,0.172,20.588,5.063,9.931,16.244,48.644,0.653,117.543,0.685,47.89,0.445
2021-01-01 09:00:00,2021-01-01 10:00:00,10001,Alphington,4.1,23.859,0.156,23.282,3.422,14.891,17.128,52.068,0.666,126.747,0.952,109.91,0.632
2021-01-01 10:00:00,2021-01-01 11:00:00,10001,Alphington,-2.571,21.963,0.145,27.121,3.297,23.593,11.793,42.257,0.67,85.876,1.473,36.135,1.204
2021-01-01 11:00:00,2021-01-01 12:00:00,10001,Alphington,-5.297,13.616,0.115,29.083,2.154,23.984,2.229,39.505,0.585,111.044,1.845,22.557,1.499
2021-01-01 12:00:00,2021-01-01 13:00:00,10001,Alphington,-3.271,10.325,0.088,30.315,1.71,25.371,10.787,32.128,0.564,70.944,2.13,43.354,1.777
2021-01-01 13:00:00,2021-01-01 14:00:00,10001,Alphington,-0.42,15.657,0.115,29.825,1.278,23.871,12.14,33.684,0.677,87.961,1.917,86.111,1.669
2021-01-01 14:00:00,2021-01-01 15:00:00,10001,Alphington,1.432,13.902,0.102,30.634,1.574,28.263,1.01,34.692,0.684,86.591,1.659,82.475,1.357
2021-01-01 15:00:00,2021-01-01 16:00:00,10001,Alphington,9.304,10.368,0.083,30.555,2.575,30.742,0.471,43.747,0.791,89.366,1.237,71.024,0.881
2021-01-01 16:00:00,2021-01-01 17:00:00,10001,Alphington,14.079,10.091,0.075,29.567,2.046,30.937,1.464,42.45,0.79,97.884,1.032,67.84,0.725
2021-01-01 17:00:00,2021-01-01 18:00:00,10001,Alphington,14.29,10.684,0.075,28.908,2.33,29.75,7.772,28.736,0.892,64.796,1.93,36.091,1.669
2021-01-01 18:00:00,2021-01-01 19:00:00,10001,Alphington,12.407,12.554,0.067,27.769,2.679,29.152,6.582,22.939,0.927,50.054,2.356,32.051,2.206
2021-01-01 19:00:00,2021-01-01 20:00:00,10001,Alphington,11.999,14.978,0.077,26.424,2.982,24.706,9.911,21.021,0.877,53.772,1.229,28.402,1.156
2021-01-01 20:00:00,2021-01-01 21:00:00,10001,Alphington,11.977,14.552,0.104,24.337,5.321,18.572,16.628,51.971,0.945,132.801,0.26,68.217,0.122
2021-01-01 21:00:00,2021-01-01 22:00:00,10001,Alphington,6.212,16.409,0.164,23.177,8.878,10.612,20.843,43.37,0.919,131.654,0.387,118.634,0.273
2021-01-01 22:00:00,2021-01-01 23:00:00,10001,Alphington,0.367,16.909,0.182,21.988,8.145,6.233,18.387,56.778,0.839,182.289,0.246,65.887,0.028
2021-01-01 23:00:00,2021-01-02 00:00:00,10001,Alphington,-2.088,16.86,0.14,20.614,4.258,7.966,13.628,43.256,0.665,152.792,0.363,65.053,0.055
2021-01-02 00:00:00,2021-01-02 01:00:00,10001,Alphington,-0.037,,,20.064,,,10.452,37.337,,80.081,0.554,61.026,0.452
2021-01-02 01:00:00,2021-01-02 02:00:00,10001,Alphington,3.854,13.541,0.079,19.643,1.224,11.464,10.079,40.5,0.694,79.591,0.797,48.685,0.653
2021-01-02 02:00:00,2021-01-02 03:00:00,10001,Alphington,4.798,14.404,0.1,19.256,1.297,11.31,11.144,32.953,0.792,78.757,0.589,63.639,0.485
2021-01-02 03:00:00,2021-01-02 04:00:00,10001,Alphington,4.627,14.991,0.103,18.764,1.496,10.333,12.284,41.309,0.817,87.659,0.567,64.038,0.448
2021-01-02 04:00:00,2021-01-02 05:00:00,10001,Alphington,4.138,14.865,0.104,18.544,1.642,9.965,11.391,36.469,0.842,75.418,0.58,47.568,0.463
2021-01-02 05:00:00,2021-01-02 06:00:00,10001,Alphington,6.102,15.293,0.11,18.198,2.635,8.13,12.961,41.995,0.89,88.118,0.364,50.738,0.291
2021-01-02 06:00:00,2021-01-02 07:00:00,10001,Alphington,4.816,15.502,0.124,20.337,3.441,8.905,12.238,43.601,0.893,94.463,0.596,67.032,0.448
2021-01-02 07:00:00,2021-01-02 08:00:00,10001,Alphington,0.769,12.289,0.12,23.157,3.335,13.86,10.264,35.484,0.901,90.915,1.217,30.974,1.011
2021-01-02 08:00:00,2021-01-02 09:00:00,10001,Alphington,-0.653,5.972,0.095,25.226,1.813,17.902,5.644,38.645,0.866,139.003,1.83,7.747,1.514
2021-01-02 09:00:00,2021-01-02 10:00:00,10001,Alphington,-0.818,5.506,0.093,26.712,1.957,19.553,7.439,40.914,0.845,145.189,1.696,7.448,1.423
2021-01-02 10:00:00,2021-01-02 11:00:00,10001,Alphington,-0.87,5.608,0.103,26.68,2.217,20.274,6.348,42.489,0.865,128.661,1.639,12.72,1.373
2021-01-02 11:00:00,2021-01-02 12:00:00,10001,Alphington,3.895,6.21,0.102,25.898,2.904,20.229,6.3,53.419,0.871,168.87,0.828,359.847,0.518
2021-01-02 12:00:00,2021-01-02 13:00:00,10001,Alphington,6.209,8.104,0.104,27.719,2.026,26.158,6.743,55.457,0.908,169.091,0.919,344.968,0.296
2021-01-02 13:00:00,2021-01-02 14:00:00,10001,Alphington,2.31,9.559,0.108,29.374,1.898,30.753,9.642,47.202,1.017,117.516,1.136,97.633,0.731
2021-01-02 14:00:00,2021-01-02 15:00:00,10001,Alphington,-0.413,10.615,0.106,28.957,2.172,33.855,9.163,36.919,1.095,147.375,1.565,154.644,1.219
2021-01-02 15:00:00,2021-01-02 16:00:00,10001,Alphington,1.652,16.729,0.179,23.412,4.632,32.518,39.459,36.327,1.161,97.562,1.221,101.175,0.788
2021-01-02 16:00:00,2021-01-02 17:00:00,10001,Alphington,4.727,15.148,0.248,20.282,6.104,19.822,15.647,36.942,0.922,187.357,0.626,182.825,0.244
2021-01-02 17:00:00,2021-01-02 18:00:00,10001,Alphington,5.765,15.218,0.236,20.16,5.928,18.219,9.756,41.92,0.775,130.094,1.137,131.161,0.913
2021-01-02 18:00:00,2021-01-02 19:00:00,10001,Alphington,5.779,17.362,0.202,20.259,4.402,19.672,8.297,37.049,0.824,121.175,1.118,125.43,0.94
2021-01-02 19:00:00,2021-01-02 20:00:00,10001,Alphington,7.341,18.567,0.192,19.87,4.277,14.134,10.541,30.628,0.796,154.321,0.776,149.7,0.673
2021-01-02 20:00:00,2021-01-02 21:00:00,10001,Alphington,9.3,18.419,0.218,19.701,5.606,9.26,12.128,25.13,0.548,199.001,0.946,217.104,0.813
2021-01-02 21:00:00,2021-01-02 22:00:00,10001,Alphington,9.263,17.037,0.226,19.614,7.143,7.021,7.521,18.64,0.446,216.493,1.447,215.851,1.359
2021-01-02 22:00:00,2021-01-02 23:00:00,10001,Alphington,6.62,17.766,0.194,19.216,6.402,6.377,10.812,13.79,0.337,215.257,1.308,214.351,1.252
2021-01-02 23:00:00,2021-01-03 00:00:00,10001,Alphington,7.499,18.747,0.198,18.795,6.466,6.106,11.214,15.653,0.31,236.698,0.98,235.449,0.945
2021-01-03 00:00:00,2021-01-03 01:00:00,10001,Alphington,7.215,,,18.488,,,11.269,26.849,,185.682,0.521,220.526,0.37
2021-01-03 01:00:00,2021-01-03 02:00:00,10001,Alphington,5.573,20.8,0.151,17.897,5.846,3.198,10.451,32.625,0.27,193.593,0.266,308.79,0.094
2021-01-03 02:00:00,2021-01-03 03:00:00,10001,Alphington,4.619,23.675,0.164,17.404,6.254,2.12,12.794,31.314,0.35,169.464,0.325,0.162,0.208
2021-01-03 03:00:00,2021-01-03 04:00:00,10001,Alphington,4.909,37.181,0.157,17.836,5.84,2.907,20.793,38.713,0.224,236.821,0.38,287.746,0.284
2021-01-03 04:00:00,2021-01-03 05:00:00,10001,Alphington,13.228,48.005,0.14,18.512,5.768,4.696,22.211,20.284,0.205,275.951,1.17,277.863,1.108
2021-01-03 05:00:00,2021-01-03 06:00:00,10001,Alphington,13.595,38.217,0.145,18.456,6.361,3.895,20.381,20.711,0.203,263.948,1.116,266.016,1.026
2021-01-03 06:00:00,2021-01-03 07:00:00,10001,Alphington,10.626,34.021,0.152,18.357,6.371,3.87,14.463,24.957,0.1,270.057,0.947,272.228,0.868
2021-01-03 07:00:00,2021-01-03 08:00:00,10001,Alphington,8.506,39.456,0.167,18.545,6.605,3.335,16.429,20.867,0.15,276.903,1.117,277.045,1.038
2021-01-03 08:00:00,2021-01-03 09:00:00,10001,Alphington,6.828,34.892,0.172,18.619,7.091,3.806,12.767,20.819,0.12,239.545,1.572,241.608,1.367
2021-01-03 09:00:00,2021-01-03 10:00:00,10001,Alphington,5.143,16.412,0.178,18.729,6.222,5.23,5.865,35.49,0.118,219.556,0.724,233.656,0.581
2021-01-03 10:00:00,2021-01-03 11:00:00,10001,Alphington,2.992,9.405,0.181,19.996,5.273,10.001,2.034,39.224,0.13,249.681,1.168,274.345,0.906
2021-01-03 11:00:00,2021-01-03 12:00:00,10001,Alphington,0.323,10.544,0.168,21.329,3.923,17.133,1.592,34.577,0.113,249.41,1.403,257.491,1.138
2021-01-03 12:00:00,2021-01-03 13:00:00,10001,Alphington,-3.274,14.195,0.171,22.662,4.638,22.256,5.83,25.926,-0.024,200.533,1.763,204.041,1.511
2021-01-03 13:00:00,2021-01-03 14:00:00,10001,Alphington,-4.625,16.298,0.156,24.732,2.668,30.557,0.78,43.726,0.139,197.074,1.531,202.242,1.253
2021-01-03 14:00:00,2021-01-03 15:00:00,10001,Alphington,-3.115,17.34,0.14,26.423,2.22,33.834,6.926,42.543,0.019,181.029,1.366,204.037,0.653
2021-01-03 15:00:00,2021-01-03 16:00:00,10001,Alphington,1.657,17.367,0.125,27.456,2.27,36.366,5.599,47.602,0.017,236.957,1.48,250.329,1.117
2021-01-03 16:00:00,2021-01-03 17:00:00,10001,Alphington,7.204,19.202,0.122,25.801,2.662,33.867,16.941,20.909,0.271,209.078,3.43,208.421,3.175
2021-01-03 17:00:00,2021-01-03 18:00:00,10001,Alphington,11.455,18.653,0.132,22.413,2.366,22.13,13.129,20.186,0.246,214.564,3.359,213.809,3.161
2021-01-03 18:00:00,2021-01-03 19:00:00,10001,Alphington,9.856,14.342,0.118,20.373,3.287,14.243,6.802,18.55,0.247,236.777,3.385,236.108,3.172
2021-01-03 19:00:00,2021-01-03 20:00:00,10001,Alphington,10.132,8.367,0.097,18.948,2.315,13.439,6.71,21.385,0.203,253.827,3.71,253.6,3.473
2021-01-03 20:00:00,2021-01-03 21:00:00,10001,Alphington,8.66,9.66,0.094,18.066,1.689,13.794,8.098,23.347,0.149,263.065,2.92,263.086,2.658
2021-01-03 21:00:00,2021-01-03 22:00:00,10001,Alphington,7.64,7.782,0.095,17.618,1.942,12.623,5.717,24.946,0.086,260.598,2.598,261.809,2.363
2021-01-03 22:00:00,2021-01-03 23:00:00,10001,Alphington,6.903,3.972,0.093,17.278,2.125,12.329,3.355,24.657,0.058,264.749,2.248,265.679,2.05
2021-01-03 23:00:00,2021-01-04 00:00:00,10001,Alphington,4.334,2.679,0.118,17.303,1.523,12.365,1.457,25.846,0.157,265.551,2.136,267.732,1.935
2021-01-04 00:00:00,2021-01-04 01:00:00,10001,Alphington,0.459,,,17.313,,,6.139,23.161,,283.339,1.899,287.325,1.776
2021-01-04 01:00:00,2021-01-04 02:00:00,10001,Alphington,-2.494,16.588,0.117,17.592,2.583,9.024,11.552,19.561,0.161,264.119,1.298,267.225,1.124
2021-01-04 02:00:00,2021-01-04 03:00:00,10001,Alphington,-3.335,14.187,0.141,17.841,2.091,12.473,8.189,19.462,0.148,228.232,1.84,226.205,1.718
2021-01-04 03:00:00,2021-01-04 04:00:00,10001,Alphington,-3.378,10.451,0.147,17.663,1.314,12.461,7.006,20.755,0.197,223.129,1.559,222.454,1.457
2021-01-04 04:00:00,2021-01-04 05:00:00,10001,Alphington,1.087,8.331,0.119,17.24,1.447,13.075,6.723,18.745,0.211,206.086,2.42,206.276,2.293
2021-01-04 05:00:00,2021-01-04 06:00:00,10001,Alphington,3.103,6.799,0.139,16.656,2.235,11.804,5.805,20.025,0.115,199.842,2.318,200.244,2.187
2021-01-04 06:00:00,2021-01-04 07:00:00,10001,Alphington,3.339,5.568,0.144,16.498,2.608,10.986,6,18.415,0.16,192.981,2.848,194.921,2.734
2021-01-04 07:00:00,2021-01-04 08:00:00,10001,Alphington,3.358,4.735,0.148,16.605,2.735,10.593,6.161,19.966,0.266,189.072,2.863,192.227,2.725
2021-01-04 08:00:00,2021-01-04 09:00:00,10001,Alphington,2.012,5.163,0.154,16.907,2.482,11.018,5.403,17.881,0.25,192.701,3.001,194.007,2.881
2021-01-04 09:00:00,2021-01-04 10:00:00,10001,Alphington,-0.07,4.517,0.143,17.164,2.016,11.808,4.579,20.038,0.289,189.806,2.994,192.271,2.85
2021-01-04 10:00:00,2021-01-04 11:00:00,10001,Alphington,0.854,3.712,0.151,17.291,2.571,12.056,5.498,22.894,0.219,188.81,2.632,192.642,2.458
2021-01-04 11:00:00,2021-01-04 12:00:00,10001,Alphington,,6.047,0.124,17.705,1.997,13.072,2.572,22.507,0.239,187.391,3.276,191.2,3.083
2021-01-04 12:00:00,2021-01-04 13:00:00,10001,Alphington,,5.137,0.119,18.658,1.769,13.397,4.906,22.777,0.271,188.228,3.109,192.056,2.903
2021-01-04 13:00:00,2021-01-04 14:00:00,10001,Alphington,,8.169,0.116,18.876,1.943,13.575,4.608,23.49,0.271,189.992,2.699,193.746,2.471
2021-01-04 14:00:00,2021-01-04 15:00:00,10001,Alphington,-1.781,12.04,0.106,18.543,1.842,14.094,10.167,21.648,0.32,194.948,3.597,197.395,3.387
2021-01-04 15:00:00,2021-01-04 16:00:00,10001,Alphington,1.268,14.021,0.114,17.247,1.888,12.179,10.457,20.12,0.254,195.39,3.403,197.405,3.238
2021-01-04 16:00:00,2021-01-04 17:00:00,10001,Alphington,1.988,21.476,0.116,16.884,2.157,11.774,10.707,21.171,0.426,192.916,3.109,194.791,2.935
2021-01-04 17:00:00,2021-01-04 18:00:00,10001,Alphington,3.946,28.74,0.1,17.653,2.015,12.589,21.532,19.235,0.409,199.922,3.459,200.773,3.291
2021-01-04 18:00:00,2021-01-04 19:00:00,10001,Alphington,5.987,30.765,0.098,16.903,2.943,11.123,24.363,20.517,0.419,194.97,2.844,197.767,2.693
2021-01-04 19:00:00,2021-01-04 20:00:00,10001,Alphington,5.319,18.025,0.117,16.171,2.89,10.21,12.286,19.981,0.381,191.332,2.415,194.083,2.304
2021-01-04 20:00:00,2021-01-04 21:00:00,10001,Alphington,2.521,5.341,0.127,16.19,2.918,10.298,4.463,24.073,0.38,185.213,1.756,188.024,1.633
2021-01-04 21:00:00,2021-01-04 22:00:00,10001,Alphington,1.75,3.028,0.124,16.384,2.157,11.395,3.387,18.652,0.422,189.209,2.176,191.738,2.074
2021-01-04 22:00:00,2021-01-04 23:00:00,10001,Alphington,0.221,2.04,0.12,16.372,1.682,12.493,2.475,23.646,0.417,185.003,2.388,188.124,2.228
2021-01-04 23:00:00,2021-01-05 00:00:00,10001,Alphington,1.161,3.433,0.114,16.273,1.276,12.652,3.559,19.218,0.43,189.643,2.141,192.347,2.035
2021-01-05 00:00:00,2021-01-05 01:00:00,10001,Alphington,1.943,,,16.406,,,2.163,21.447,,185.46,1.942,188.686,1.814
2021-01-05 01:00:00,2021-01-05 02:00:00,10001,Alphington,0.968,1.477,0.114,16.556,0.997,11.8,1.69,23.288,0.497,182.464,1.766,185.154,1.633
2021-01-05 02:00:00,2021-01-05 03:00:00,10001,Alphington,,1.388,0.13,16.596,0.948,11.244,2.006,25.586,0.556,179.467,1.7,181.881,1.543
2021-01-05 03:00:00,2021-01-05 04:00:00,10001,Alphington,,2.501,0.136,16.667,1.463,10.707,3.845,25.388,0.589,185.3,1.763,188.927,1.627
2021-01-05 04:00:00,2021-01-05 05:00:00,10001,Alphington,,4.477,0.13,16.682,1.746,10.513,4.948,28.846,0.666,174.894,1.732,176.35,1.557
2021-01-05 05:00:00,2021-01-05 06:00:00,10001,Alphington,,6.249,0.135,16.651,3.392,8.773,5.805,26,0.592,178.664,1.883,179.914,1.717
2021-01-05 06:00:00,2021-01-05 07:00:00,10001,Alphington,,8.388,0.148,16.766,5.137,7.618,6.455,28.826,0.564,178.277,2.082,179.793,1.862
2021-01-05 07:00:00,2021-01-05 08:00:00,10001,Alphington,,7.4,0.146,17.145,4.416,8.105,6.632,33.778,0.502,172.449,1.94,173.989,1.69
2021-01-05 08:00:00,2021-01-05 09:00:00,10001,Alphington,11.553,6.038,0.149,17.286,4.771,7.63,6.512,28.095,0.54,178.301,1.98,179.819,1.775
2021-01-05 09:00:00,2021-01-05 10:00:00,10001,Alphington,18.685,8.611,0.15,17.805,4.383,8.181,6.708,26.568,0.381,179.382,1.885,181.537,1.705
2021-01-05 10:00:00,2021-01-05 11:00:00,10001,Alphington,14.31,15.495,0.157,18.549,3.697,9.334,10.46,30.407,0.436,170.958,2.048,171.026,1.801
2021-01-05 11:00:00,2021-01-05 12:00:00,10001,Alphington,9.059,16.854,0.149,19.346,2.907,10.914,10.412,28.86,0.434,172.43,2.501,174.328,2.224
2021-01-05 12:00:00,2021-01-05 13:00:00,10001,Alphington,2.945,17.489,0.148,19.103,2.695,10.994,13.366,26.858,0.427,177.521,2.615,181.023,2.361
2021-01-05 13:00:00,2021-01-05 14:00:00,10001,Alphington,0.337,12.104,0.147,18.921,2.493,10.947,10.089,29.06,0.527,168.975,2.452,169.295,2.181
2021-01-05 14:00:00,2021-01-05 15:00:00,10001,Alphington,2.276,13.094,0.148,19.164,2.583,10.989,9.505,25.046,0.469,179.655,2.655,182.177,2.404
2021-01-05 15:00:00,2021-01-05 16:00:00,10001,Alphington,4.715,15.575,0.157,18.07,2.874,11.382,15.905,18.515,0.477,190.803,3.174,192.884,3.048
2021-01-05 16:00:00,2021-01-05 17:00:00,10001,Alphington,3.123,16.85,0.168,18.256,2.763,10.505,10.271,25.354,0.485,182.695,2.457,186.526,2.273
2021-01-05 17:00:00,2021-01-05 18:00:00,10001,Alphington,3.394,14.343,0.143,18.92,1.883,11.777,9.498,21.536,0.475,187.734,3.557,190.91,3.373
2021-01-05 18:00:00,2021-01-05 19:00:00,10001,Alphington,9.133,13.797,0.136,18.543,1.611,11.562,12.966,21.02,0.507,187.737,2.985,191.072,2.837
2021-01-05 19:00:00,2021-01-05 20:00:00,10001,Alphington,13.365,14.217,0.153,18.069,2.119,11.065,14.799,20.083,0.557,189.393,2.392,192.815,2.282
2021-01-05 20:00:00,2021-01-05 21:00:00,10001,Alphington,15.657,13.874,0.146,17.611,2.028,11.614,12.925,19.228,0.571,189.432,2.554,192.598,2.444
2021-01-05 21:00:00,2021-01-05 22:00:00,10001,Alphington,13.451,18.119,0.142,17.353,1.805,11.217,14.133,22.812,0.561,187.299,2.482,191.034,2.333
2021-01-05 22:00:00,2021-01-05 23:00:00,10001,Alphington,10.335,18.433,0.139,17.029,1.661,11.29,12.723,23.412,0.589,187.268,2.509,190.848,2.348
2021-01-05 23:00:00,2021-01-06 00:00:00,10001,Alphington,7.476,17.324,0.14,16.657,1.189,11.749,13.056,25.147,0.619,184.52,2.317,188.905,2.142
2021-01-06 00:00:00,2021-01-06 01:00:00,10001,Alphington,6.177,,,16.409,,,10.339,21.025,,186.029,2.111,188.94,1.992
2021-01-06 01:00:00,2021-01-06 02:00:00,10001,Alphington,6.018,12.623,0.089,16.211,0.857,11.842,11.981,17.936,0.616,190.316,2.723,192.839,2.607
2021-01-06 02:00:00,2021-01-06 03:00:00,10001,Alphington,4.67,10.2,0.104,15.774,0.971,12.439,10.47,20.407,0.729,190.691,2.765,193.092,2.637
2021-01-06 03:00:00,2021-01-06 04:00:00,10001,Alphington,3.002,8.35,0.113,14.672,1.242,11.624,9.414,18.684,0.755,192.674,3.033,195.285,2.912
2021-01-06 04:00:00,2021-01-06 05:00:00,10001,Alphington,1.211,9.922,0.108,14.08,1.795,11.605,8.283,17.898,0.781,193.177,2.88,194.702,2.772
2021-01-06 05:00:00,2021-01-06 06:00:00,10001,Alphington,3.5,11.921,0.116,14.18,2.501,11.686,9.256,20.346,0.792,189.399,2.687,192.513,2.564
2021-01-06 06:00:00,2021-01-06 07:00:00,10001,Alphington,5.437,12.842,0.111,15.098,3.365,11.149,11.774,22.077,0.772,187.441,2.366,190.887,2.232
2021-01-06 07:00:00,2021-01-06 08:00:00,10001,Alphington,4.388,11.796,0.107,15.762,3.17,11.985,12.551,22.562,0.871,188.971,2.63,191.403,2.469
2021-01-06 08:00:00,2021-01-06 09:00:00,10001,Alphington,4.714,11.499,0.116,15.663,3.018,11.568,14.936,24.833,0.855,182.038,1.774,186.13,1.628
2021-01-06 09:00:00,2021-01-06 10:00:00,10001,Alphington,2.562,11.068,0.107,15.957,3.214,11.791,12.956,25.309,0.725,179.091,1.83,184.779,1.603
2021-01-06 10:00:00,2021-01-06 11:00:00,10001,Alphington,1.148,9.551,0.105,16.589,2.812,12.73,11.43,22.725,0.786,188.388,2.452,192.369,2.308
2021-01-06 11:00:00,2021-01-06 12:00:00,10001,Alphington,-1.273,6.933,0.086,17.539,2.253,13.318,8.858,23.375,0.793,201.068,2.253,203.341,2.083
2021-01-06 12:00:00,2021-01-06 13:00:00,10001,Alphington,-3.719,5.489,0.076,18.021,1.987,13.797,6.468,21.84,0.903,204,2.93,206.976,2.731
2021-01-06 13:00:00,2021-01-06 14:00:00,10001,Alphington,-2.778,5.926,0.061,18.448,1.794,13.916,7.615,21.162,0.952,198.62,3.091,199.832,2.894
2021-01-06 14:00:00,2021-01-06 15:00:00,10001,Alphington,-0.122,12.451,0.075,19.331,2.096,14.138,13.216,23.259,1.002,192.439,3.13,195.03,2.918
2021-01-06 15:00:00,2021-01-06 16:00:00,10001,Alphington,1.851,10.981,0.082,19.824,1.992,13.572,14.437,22.468,0.947,201.221,3.483,203.754,3.253
2021-01-06 16:00:00,2021-01-06 17:00:00,10001,Alphington,0.678,11.954,0.09,19.414,1.581,12.156,15.127,24.076,1.017,197.144,3.265,199.942,3.008
2021-01-06 17:00:00,2021-01-06 18:00:00,10001,Alphington,1.288,13.116,0.087,18.979,1.732,11.771,13.255,20.54,1.047,193.955,3.467,196.135,3.28
2021-01-06 18:00:00,2021-01-06 19:00:00,10001,Alphington,3.703,13.285,0.086,18.349,1.953,10.842,15.003,22.257,1.082,190.892,2.338,193.272,2.203
2021-01-06 19:00:00,2021-01-06 20:00:00,10001,Alphington,3.552,12.06,0.095,17.787,1.834,9.702,11.233,20.625,1.055,188.017,2.3,191.075,2.186
2021-01-06 20:00:00,2021-01-06 21:00:00,10001,Alphington,3.095,13.106,0.113,17.075,2.882,8.362,12.466,21.919,1.03,185.529,1.454,188.797,1.368
2021-01-06 21:00:00,2021-01-06 22:00:00,10001,Alphington,4.204,12.699,0.119,17.023,3.014,8.227,14.37,23.811,0.944,181.726,1.244,185.683,1.149
2021-01-06 22:00:00,2021-01-06 23:00:00,10001,Alphington,2.264,12.49,0.106,16.946,2.63,8.559,11.748,19.715,1.018,187.913,1.642,190.565,1.562
2021-01-06 23:00:00,2021-01-07 00:00:00,10001,Alphington,1.52,13.566,0.104,16.805,1.915,9.084,12.756,25.631,1.082,184.278,1.26,187.16,1.154
2021-01-07 00:00:00,2021-01-07 01:00:00,10001,Alphington,1.772,,,16.579,,,16.599,27.976,,166.477,1.145,165.539,1.029
2021-01-07 01:00:00,2021-01-07 02:00:00,10001,Alphington,2.523,30.006,0.069,16.095,1.105,10.047,22.006,29.378,1.061,172.991,1.132,173.158,1.012
2021-01-07 02:00:00,2021-01-07 03:00:00,10001,Alphington,3.579,37.393,0.098,15.056,2.01,9.122,25.161,25.358,1.15,175.375,0.944,173.472,0.859
2021-01-07 03:00:00,2021-01-07 04:00:00,10001,Alphington,5.953,40.125,0.108,14.64,3.027,7.19,23.88,31.893,1.121,184.063,0.814,185.46,0.659
2021-01-07 04:00:00,2021-01-07 05:00:00,10001,Alphington,7.857,34.982,0.124,14.055,6.279,3.532,20.398,18.278,1.137,227.998,0.788,225.122,0.721
2021-01-07 05:00:00,2021-01-07 06:00:00,10001,Alphington,6.591,23.207,0.134,14.226,8.967,2.23,15.716,29.968,1.048,205.676,1.112,198.531,0.975
2021-01-07 06:00:00,2021-01-07 07:00:00,10001,Alphington,4.743,21.19,0.138,15.495,7.693,4.459,17.751,27.08,1.08,175.288,1.134,175.067,1.006
2021-01-07 07:00:00,2021-01-07 08:00:00,10001,Alphington,4.412,19.811,0.137,17.629,5.523,7.589,17.964,30.834,1.106,157.964,1.462,157.197,1.248
2021-01-07 08:00:00,2021-01-07 09:00:00,10001,Alphington,4.159,17.569,0.102,19.216,3.788,10.615,16.695,44.009,1.05,154.093,1.307,155.47,0.959
2021-01-07 09:00:00,2021-01-07 10:00:00,10001,Alphington,3.185,15.433,0.095,21.383,2.431,15.063,10.768,53.407,1.037,133.762,1.083,131.193,0.704
2021-01-07 10:00:00,2021-01-07 11:00:00,10001,Alphington,1.499,12.603,0.109,23.529,2.121,18.5,11.575,55.041,1.086,132.504,1.142,122.704,0.719
2021-01-07 11:00:00,2021-01-07 12:00:00,10001,Alphington,-1.447,10.309,0.095,24.954,1.79,19.322,10.31,43.29,1.034,153.203,1.768,157.827,1.349
2021-01-07 12:00:00,2021-01-07 13:00:00,10001,Alphington,-0.422,7.14,0.088,25.821,1.682,18.158,4.95,36.904,1.122,151.679,2.223,153.423,1.813
2021-01-07 13:00:00,2021-01-07 14:00:00,10001,Alphington,0.679,7.625,0.079,26.683,1.525,17.366,8.477,37.692,1.1,151.038,2.501,152.107,2.137
2021-01-07 14:00:00,2021-01-07 15:00:00,10001,Alphington,2.957,11.15,0.065,27.114,1.487,18.104,10.78,36.993,1.158,145.408,2.693,145.272,2.265
2021-01-07 15:00:00,2021-01-07 16:00:00,10001,Alphington,5.218,12.956,0.059,26.859,1.694,18.984,15.181,36.573,1.198,142.474,2.558,142.264,2.191
2021-01-07 16:00:00,2021-01-07 17:00:00,10001,Alphington,6.658,11.954,0.051,26.804,1.557,18.423,13.996,36.81,1.164,147.528,2.675,146.184,2.295
2021-01-07 17:00:00,2021-01-07 18:00:00,10001,Alphington,8.712,11.134,0.046,25.879,1.548,17.537,12.753,37.051,1.269,133.72,2.649,134.358,2.294
