datetime_AEST,datetime_local,location_id,location_name,BPM2.5,CO,DBT,NO2,O3,PM10,Sigma05,SWD,SWS,VWD,VWS
2021-01-03 02:00:00,2021-01-03 03:00:00,10003,Footscray,1.891,0.116,18.533,4.655,7.332,8.269,21.454,197.308,0.888,187.495,0.734
2021-01-03 03:00:00,2021-01-03 04:00:00,10003,Footscray,2.639,0.119,18.434,5.041,6.55,15.842,29.628,266.04,1.052,279.432,0.925
2021-01-03 04:00:00,2021-01-03 05:00:00,10003,Footscray,4.605,0.123,18.392,5.129,4.295,22.552,14.779,274.886,2.122,274.83,2.06
2021-01-03 05:00:00,2021-01-03 06:00:00,10003,Footscray,4.206,0.128,18.083,6.241,3.067,11.713,17.393,247.405,1.689,245.278,1.578
2021-01-03 06:00:00,2021-01-03 07:00:00,10003,Footscray,4.372,0.134,18.302,6.267,3.409,12.04,19.105,242.888,1.581,242.056,1.457
2021-01-03 07:00:00,2021-01-03 08:00:00,10003,Footscray,5.837,0.146,18.376,6.067,3.966,9.067,14.946,227.078,1.953,226.542,1.872
2021-01-03 08:00:00,2021-01-03 09:00:00,10003,Footscray,5.246,0.157,18.103,6.03,4.757,4.173,16.775,221.543,1.978,222.687,1.869
2021-01-03 09:00:00,2021-01-03 10:00:00,10003,Footscray,4.598,0.155,18.532,5.556,5.866,5.958,22.047,265.412,1.545,267.134,1.378
2021-01-03 10:00:00,2021-01-03 11:00:00,10003,Footscray,3.817,0.143,20.032,4.332,11.271,,20.149,265.728,2.04,263.751,1.831
2021-01-03 11:00:00,2021-01-03 12:00:00,10003,Footscray,8.935,0.115,21.746,3.18,22.523,0.196,27.858,250.587,2.028,259.361,1.723
2021-01-03 12:00:00,2021-01-03 13:00:00,10003,Footscray,8.73,0.131,23.256,3.923,23.255,12.472,25.69,159.803,2.488,159.833,1.937
2021-01-03 13:00:00,2021-01-03 14:00:00,10003,Footscray,7.242,0.124,24.303,5.413,25.452,0.067,31.076,135.759,2.063,130.252,1.468
2021-01-03 14:00:00,2021-01-03 15:00:00,10003,Footscray,5.506,0.1,25.789,4.605,31.75,3.904,42.501,160.5,1.857,168.348,0.592
2021-01-03 15:00:00,2021-01-03 16:00:00,10003,Footscray,3.813,0.09,26.359,5.591,30.761,10.198,28.946,158.07,2.795,162.989,2.446
2021-01-03 16:00:00,2021-01-03 17:00:00,10003,Footscray,1.858,0.094,23.002,3.637,30.445,23.97,15.88,189.494,4.222,189.583,4.051
2021-01-03 17:00:00,2021-01-03 18:00:00,10003,Footscray,3.277,0.09,21.831,2.926,16.48,,13.464,224.495,5.384,224.649,5.174
2021-01-03 18:00:00,2021-01-03 19:00:00,10003,Footscray,3.031,0.083,19.402,2.722,13.43,1.756,13.887,241.88,5.138,241.785,4.953
2021-01-03 19:00:00,2021-01-03 20:00:00,10003,Footscray,1.94,0.077,18.19,2.103,13.601,3.994,13.539,251.342,5.413,251.282,5.244
2021-01-03 20:00:00,2021-01-03 21:00:00,10003,Footscray,0.73,0.088,17.482,1.589,13.013,3.782,14.14,260.36,4.835,260.731,4.682
2021-01-03 21:00:00,2021-01-03 22:00:00,10003,Footscray,2.683,0.088,17.106,1.859,11.877,2.055,15.034,270.279,4.431,270.569,4.288
2021-01-03 22:00:00,2021-01-03 23:00:00,10003,Footscray,2.701,0.09,16.971,1.793,11.947,1.717,15.319,266.344,4.262,266.434,4.119
2021-01-03 23:00:00,2021-01-04 00:00:00,10003,Footscray,1.488,0.099,16.987,1.779,11.057,5.53,16.602,271.919,3.411,272.785,3.285
2021-01-04 00:00:00,2021-01-04 01:00:00,10003,Footscray,1.299,,17.502,,,12.875,14.61,245.993,2.713,236.939,2.309
2021-01-04 01:00:00,2021-01-04 02:00:00,10003,Footscray,3.27,0.089,17.585,2.332,11.932,4.916,12.882,220.295,3.685,218.778,3.577
2021-01-04 02:00:00,2021-01-04 03:00:00,10003,Footscray,5.102,0.095,17.351,2.708,11.794,1.989,13.906,199.706,3.78,199.608,3.648
2021-01-04 03:00:00,2021-01-04 04:00:00,10003,Footscray,4.673,0.088,17.193,1.812,13.118,1.817,13.18,198.242,4.54,198.098,4.423
