datetime_AEST,datetime_local,location_id,location_name,SBPM25
2021-01-04 06:00:00,2021-01-04 07:00:00,10425,Campbellfield,2.042
2021-01-04 07:00:00,2021-01-04 08:00:00,10425,Campbellfield,-2.58
2021-01-04 08:00:00,2021-01-04 09:00:00,10425,Campbellfield,-0.861
2021-01-04 09:00:00,2021-01-04 10:00:00,10425,Campbellfield,0.215
2021-01-04 10:00:00,2021-01-04 11:00:00,10425,Campbellfield,0.215
2021-01-04 11:00:00,2021-01-04 12:00:00,10425,Campbellfield,1.185
2021-01-04 12:00:00,2021-01-04 13:00:00,10425,Campbellfield,0.648
2021-01-04 13:00:00,2021-01-04 14:00:00,10425,Campbellfield,7.665
2021-01-04 14:00:00,2021-01-04 15:00:00,10425,Campbellfield,1.625
2021-01-04 15:00:00,2021-01-04 16:00:00,10425,Campbellfield,6.245
2021-01-04 16:00:00,2021-01-04 17:00:00,10425,Campbellfield,1.074
2021-01-04 17:00:00,2021-01-04 18:00:00,10425,Campbellfield,2.584
2021-01-04 18:00:00,2021-01-04 19:00:00,10425,Campbellfield,7.947
2021-01-04 19:00:00,2021-01-04 20:00:00,10425,Campbellfield,9.53
2021-01-04 20:00:00,2021-01-04 21:00:00,10425,Campbellfield,3.322
2021-01-04 21:00:00,2021-01-04 22:00:00,10425,Campbellfield,5.469
2021-01-04 22:00:00,2021-01-04 23:00:00,10425,Campbellfield,3.219
2021-01-04 23:00:00,2021-01-05 00:00:00,10425,Campbellfield,0.536
2021-01-05 00:00:00,2021-01-05 01:00:00,10425,Campbellfield,4.939
2021-01-05 01:00:00,2021-01-05 02:00:00,10425,Campbellfield,1.29
2021-01-05 02:00:00,2021-01-05 03:00:00,10425,Campbellfield,2.151
2021-01-05 03:00:00,2021-01-05 04:00:00,10425,Campbellfield,-0.86
2021-01-05 04:00:00,2021-01-05 05:00:00,10425,Campbellfield,-1.505
2021-01-05 05:00:00,2021-01-05 06:00:00,10425,Campbellfield,-1.182
2021-01-05 06:00:00,2021-01-05 07:00:00,10425,Campbellfield,-1.397
2021-01-05 07:00:00,2021-01-05 08:00:00,10425,Campbellfield,3.224
2021-01-05 08:00:00,2021-01-05 09:00:00,10425,Campbellfield,-0.43
2021-01-05 09:00:00,2021-01-05 10:00:00,10425,Campbellfield,4.839
2021-01-05 10:00:00,2021-01-05 11:00:00,10425,Campbellfield,1.401
2021-01-05 11:00:00,2021-01-05 12:00:00,10425,Campbellfield,3.565
2021-01-05 12:00:00,2021-01-05 13:00:00,10425,Campbellfield,4.321
2021-01-05 13:00:00,2021-01-05 14:00:00,10425,Campbellfield,4.214
2021-01-05 14:00:00,2021-01-05 15:00:00,10425,Campbellfield,4.417
2021-01-05 15:00:00,2021-01-05 16:00:00,10425,Campbellfield,2.691
2021-01-05 16:00:00,2021-01-05 17:00:00,10425,Campbellfield,3.556
2021-01-05 17:00:00,2021-01-05 18:00:00,10425,Campbellfield,-0.323
2021-01-05 18:00:00,2021-01-05 19:00:00,10425,Campbellfield,3.663
2021-01-05 19:00:00,2021-01-05 20:00:00,10425,Campbellfield,6.014
2021-01-05 20:00:00,2021-01-05 21:00:00,10425,Campbellfield,3.754
2021-01-05 21:00:00,2021-01-05 22:00:00,10425,Campbellfield,-0.321
2021-01-05 22:00:00,2021-01-05 23:00:00,10425,Campbellfield,1.925
2021-01-05 23:00:00,2021-01-06 00:00:00,10425,Campbellfield,2.349
2021-01-06 00:00:00,2021-01-06 01:00:00,10425,Campbellfield,0.107
2021-01-06 01:00:00,2021-01-06 02:00:00,10425,Campbellfield,0
2021-01-06 02:00:00,2021-01-06 03:00:00,10425,Campbellfield,0.957
2021-01-06 03:00:00,2021-01-06 04:00:00,10425,Campbellfield,2.649
2021-01-06 04:00:00,2021-01-06 05:00:00,10425,Campbellfield,-1.479
2021-01-06 05:00:00,2021-01-06 06:00:00,10425,Campbellfield,0.633
2021-01-06 06:00:00,2021-01-06 07:00:00,10425,Campbellfield,-1.164
2021-01-06 07:00:00,2021-01-06 08:00:00,10425,Campbellfield,3.818
2021-01-06 08:00:00,2021-01-06 09:00:00,10425,Campbellfield,4.666
2021-01-06 09:00:00,2021-01-06 10:00:00,10425,Campbellfield,2.226
2021-01-06 10:00:00,2021-01-06 11:00:00,10425,Campbellfield,4.788
2021-01-06 11:00:00,2021-01-06 12:00:00,10425,Campbellfield,6.086
2021-01-06 12:00:00,2021-01-06 13:00:00,10425,Campbellfield,6.126
2021-01-06 13:00:00,2021-01-06 14:00:00,10425,Campbellfield,5.158
2021-01-06 14:00:00,2021-01-06 15:00:00,10425,Campbellfield,2.583
2021-01-06 15:00:00,2021-01-06 16:00:00,10425,Campbellfield,0.755
2021-01-06 16:00:00,2021-01-06 17:00:00,10425,Campbellfield,3.766
2021-01-06 17:00:00,2021-01-06 18:00:00,10425,Campbellfield,-1.395
2021-01-06 18:00:00,2021-01-06 19:00:00,10425,Campbellfield,2.672
2021-01-06 19:00:00,2021-01-06 20:00:00,10425,Campbellfield,4.692
2021-01-06 20:00:00,2021-01-06 21:00:00,10425,Campbellfield,4.152
2021-01-06 21:00:00,2021-01-06 22:00:00,10425,Campbellfield,0.426
2021-01-06 22:00:00,2021-01-06 23:00:00,10425,Campbellfield,0.532
2021-01-06 23:00:00,2021-01-07 00:00:00,10425,Campbellfield,0.425
2021-01-07 00:00:00,2021-01-07 01:00:00,10425,Campbellfield,2.02
2021-01-07 01:00:00,2021-01-07 02:00:00,10425,Campbellfield,4.671
2021-01-07 02:00:00,2021-01-07 03:00:00,10425,Campbellfield,4.129
2021-01-07 03:00:00,2021-01-07 04:00:00,10425,Campbellfield,3.493
2021-01-07 04:00:00,2021-01-07 05:00:00,10425,Campbellfield,6.55
2021-01-07 05:00:00,2021-01-07 06:00:00,10425,Campbellfield,4.222
2021-01-07 06:00:00,2021-01-07 07:00:00,10425,Campbellfield,4.779
2021-01-07 07:00:00,2021-01-07 08:00:00,10425,Campbellfield,1.499
2021-01-07 08:00:00,2021-01-07 09:00:00,10425,Campbellfield,7.424
2021-01-07 09:00:00,2021-01-07 10:00:00,10425,Campbellfield,5.865
2021-01-07 10:00:00,2021-01-07 11:00:00,10425,Campbellfield,10.908
2021-01-07 11:00:00,2021-01-07 12:00:00,10425,Campbellfield,10.22
2021-01-07 12:00:00,2021-01-07 13:00:00,10425,Campbellfield,13.986
2021-01-07 13:00:00,2021-01-07 14:00:00,10425,Campbellfield,4.318
2021-01-07 14:00:00,2021-01-07 15:00:00,10425,Campbellfield,12.388
2021-01-07 15:00:00,2021-01-07 16:00:00,10425,Campbellfield,4.305
2021-01-07 16:00:00,2021-01-07 17:00:00,10425,Campbellfield,-0.879
2021-01-07 17:00:00,2021-01-07 18:00:00,10425,Campbellfield,-3.505
2021-01-07 18:00:00,2021-01-07 19:00:00,10425,Campbellfield,1.416
2021-01-07 19:00:00,2021-01-07 20:00:00,10425,Campbellfield,5.627
2021-01-07 20:00:00,2021-01-07 21:00:00,10425,Campbellfield,0.968
2021-01-07 21:00:00,2021-01-07 22:00:00,10425,Campbellfield,0.214
2021-01-07 22:00:00,2021-01-07 23:00:00,10425,Campbellfield,4.586
2021-01-07 23:00:00,2021-01-08 00:00:00,10425,Campbellfield,3.295
2021-01-08 00:00:00,2021-01-08 01:00:00,10425,Campbellfield,1.802
2021-01-08 01:00:00,2021-01-08 02:00:00,10425,Campbellfield,3.697
2021-01-08 02:00:00,2021-01-08 03:00:00,10425,Campbellfield,-0.527
2021-01-08 03:00:00,2021-01-08 04:00:00,10425,Campbellfield,3.155
2021-01-08 04:00:00,2021-01-08 05:00:00,10425,Campbellfield,1.68
2021-01-08 05:00:00,2021-01-08 06:00:00,10425,Campbellfield,2.83
2021-01-08 06:00:00,2021-01-08 07:00:00,10425,Campbellfield,2.532
2021-01-08 07:00:00,2021-01-08 08:00:00,10425,Campbellfield,6.182
2021-01-08 08:00:00,2021-01-08 09:00:00,10425,Campbellfield,5.809
2021-01-08 09:00:00,2021-01-08 10:00:00,10425,Campbellfield,10.427
2021-01-08 10:00:00,2021-01-08 11:00:00,10425,Campbellfield,10.841
2021-01-08 11:00:00,2021-01-08 12:00:00,10425,Campbellfield,14.449
2021-01-08 12:00:00,2021-01-08 13:00:00,10425,Campbellfield,14.189
2021-01-08 13:00:00,2021-01-08 14:00:00,10425,Campbellfield,14.871
2021-01-08 14:00:00,2021-01-08 15:00:00,10425,Campbellfield,12.326
2021-01-08 15:00:00,2021-01-08 16:00:00,10425,Campbellfield,2.982
2021-01-08 16:00:00,2021-01-08 17:00:00,10425,Campbellfield,2.741
2021-01-08 17:00:00,2021-01-08 18:00:00,10425,Campbellfield,-5.912
2021-01-08 18:00:00,2021-01-08 19:00:00,10425,Campbellfield,4.143
2021-01-08 19:00:00,2021-01-08 20:00:00,10425,Campbellfield,3.467
2021-01-08 20:00:00,2021-01-08 21:00:00,10425,Campbellfield,3.014
2021-01-08 21:00:00,2021-01-08 22:00:00,10425,Campbellfield,2.897
2021-01-08 22:00:00,2021-01-08 23:00:00,10425,Campbellfield,0.963
2021-01-08 23:00:00,2021-01-09 00:00:00,10425,Campbellfield,5.858
2021-01-09 00:00:00,2021-01-09 01:00:00,10425,Campbellfield,-0.532
2021-01-09 01:00:00,2021-01-09 02:00:00,10425,Campbellfield,5.101
2021-01-09 02:00:00,2021-01-09 03:00:00,10425,Campbellfield,2.125
2021-01-09 03:00:00,2021-01-09 04:00:00,10425,Campbellfield,3.191
2021-01-09 04:00:00,2021-01-09 05:00:00,10425,Campbellfield,5.107
